Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat
UI,Ubiquiti Inc.,390.57,USD,NYSE,-1.016270465,23626066108,USD,43.048927,0.608241675,106.6507937,117.2367762,15.51224417,1.597169836,-12.28271122,437.1733333,366.94495,420.543,1.354278,1.5346365,20.58859005,237.6790639,95.73785807,134.3461902,1.191386701
BMED,BANCA MEDIOLANUM,17.41,EUR,MIL,0.172612198,14876790718,USD,11.33463542,5.747126437,167.4347158,63.01498127,28.20324006,15.22170748,16.84563758,16.20904762,13.6147,15.21,1.1487979,1.1042957,0.271220164,29.37583643,,106.4399288,1.190554887
COHR,Coherent Corp.,86.6,USD,NYSE,0.057770075,13492753092,USD,,0,101.8648019,9.82878884,-0.459770115,13.7229153,-13.33933754,102.7204762,86.3,94.8154,1.9044068,2.6739635,5.409413213,0.628976157,4.609937747,23.09193402,1.19027203
ABX,BARRICK MINING CORPORATION,35.51,CAD,TSX,2.987238979,43870137773,USD,15.9854146,1.613515081,-9.343885627,28.01009373,34.10120846,35.17320137,20.37288136,31.48952381,26.4739,29.939,0.31403387,1.0290501,0.855901392,11.64485831,12.52137697,97.28450356,1.189455419
LLOY,LLOYDS BANKING GROUP ORD GBP0.1,84.2,GBX,LSE,0.597371565,66892181094,USD,,3.989935298,197.3688752,43.63698641,27.7693475,7.425363613,7.672634271,81.28285714,68.3397,78.4284,1.7344509,1.4651474,1.469981463,10.21259436,0.710255812,78.83169752,1.18939441
SN,"SharkNinja, Inc.",115.82,USD,NYSE,-3.152437495,16346583733,USD,31.6560527,0,285.4242928,29.63957914,3.143645917,24.64485579,1.073392094,117.3685714,98.7504,108.3134,1.6379619,1.686478,3.742824568,26.90795066,25.31724209,57.42808084,1.188537681
AXON,"Axon Enterprise, Inc.",763.51,USD,NASDAQ,0.344333609,59938925986,USD,188.7400193,0,812.6344729,104.6614486,38.40353119,6.341402267,1.935888706,775.0542857,652.895,773.0852,1.3614855,1.7466161,32.02851689,14.00082382,0.048059128,149.406382,1.18710403
RBI,RAIFFEISEN BANK INTERNAT. AG,30.92,EUR,VIE,-0.258064516,11814036097,USD,,3.585397653,105.0397878,79.24637681,28.29875519,15.80524345,25.18218623,28.06,23.64165,26.4288,1.3531692,1.6533958,0.965506184,2.96251677,5.051183748,123.3503754,1.186888394
WBD,"Warner Bros. Discovery, Inc. - Series A",11.585,USD,NASDAQ,0.389948007,28681821226,USD,38.36092715,0,-47.19690064,48.52564103,3.761755486,30.9039548,-9.4921875,12.30357143,10.36725,11.7923,1.5759544,1.4487449,0.460518823,2.182004148,1.305407157,83.19135131,1.186772908
PRY,PRYSMIAN,73.58,EUR,MIL,0,24485769533,USD,28.141972,1.094990419,224.7131509,19.52566408,7.041024149,33.05605787,14.75358702,71.46666667,60.22105,64.6844,0.7710606,1.2374123,1.766511171,15.18604417,14.79079164,59.62274609,1.186738967
ORA,ORANGE,14.46,EUR,EURONEXT,0,44621905228,USD,34.07163054,5.177770107,46.56395702,41.27992184,32.05479452,8.071748879,9.132075472,13.95214286,11.75757,13.4021,0.27850005,-0.0816268,0.176358596,4.228148725,4.676242334,81.40646524,1.186651907
GS,"Goldman Sachs Group, Inc. (The)",715.95,USD,NYSE,-0.656324582,2.16733E+11,USD,15.7753834,1.665094078,252.4937226,43.33333333,11.04303994,22.38461538,1.746582156,726.4090476,612.59155,700.761,1.3697746,1.507071,13.94844437,12.77883388,2.628085527,76.76098866,1.185796715
LDO,LEONARDO,47.21,EUR,MIL,0.382734425,31394445432,USD,25.93813527,1.159161837,704.2589438,113.7166139,32.46352413,-8.294483294,-2.95991778,46.94857143,39.61245,47.1132,1.2076968,0.65768534,1.880174026,12.10054897,8.117311835,137.8856547,1.185197367
AV.,AVIVA ORD GBP0.328947368,671,GBX,LSE,-0.385985748,27453806137,USD,30.53719813,5.3125,80.26151085,33.98562568,35.33682937,9.819967267,5.669291339,654.2285714,552.234,635.524,1.3337613,1.2017556,10.16327882,10.13446215,0.519550829,79.14242231,1.18469448
INGA,ING GROEP N.V.,21.38,EUR,EURONEXT,-0.210035006,74095697257,USD,,4.985888993,218.1074245,35.57387445,29.98540856,12.23097113,8.253164557,20.62171429,17.412365,19.6569,-1.8592826,0.14060043,0.295923379,12.42167194,2.028322937,77.79025413,1.184314382
CCL,CARNIVAL PLC ORD USD1.66,2016,GBX,LSE,0,38064641729,USD,14.13843888,0,116.5413534,89.02953586,14.74103586,34.75935829,-1.5625,2022.571429,1707.815,1926.51,2.9855123,1.8782336,54.86554371,30.56048376,11.51845522,138.52993,1.184303586
EFN,ELEMENT FLEET MANAGEMENT CORP,36.48,CAD,TSX,-0.977198697,10522261977,USD,26.12057855,1.384364821,232.8467153,35.41202673,24.33537832,11.62790698,1.757322176,36.60428571,30.91975,35.196,0.5377492,0.7100451,0.614641213,14.56014184,,71.37531203,1.183848049
GJF,GJENSIDIGE FORSIKRING ASA,288.2,NOK,OSL,-0.345781466,14190709398,USD,21.96462187,3.103448276,50.41752868,57.65864333,27.07231041,10.42145594,3.669064748,281.1238095,237.544,270.864,0.4294646,0.2238022,3.627885566,29.98272821,6.123373191,95.15240967,1.183459946
FERG,Ferguson Enterprises Inc.,229.06,USD,NYSE,-0.654898729,45166286313,USD,28.59318437,1.422561478,135.6584362,11.03247698,26.74856131,29.79374433,3.948084952,226.4795238,191.38505,222.12,1.1178145,1.0545795,3.766094952,29.07807835,23.15618953,67.57478262,1.18337103
BK,The Bank of New York Mellon Corporation,101.78,USD,NYSE,0.52345679,71779406103,USD,15.54510187,1.916049383,184.8586622,55.4842652,16.33329523,15.43608937,3.026622128,101.6952381,85.94455,96.6288,1.1181018,0.9653642,1.788969861,11.74625264,1.718386423,87.25364981,1.1832657
RTX,RTX Corporation,156.32,USD,NYSE,-0.172424804,2.09241E+11,USD,34.34547612,1.641228686,158.807947,31.91561181,25.49775209,18.55896852,7.451196041,155.9709524,131.9236,150.536,0.67166626,0.7724245,2.4668377,10.12662399,7.026393537,75.97233243,1.182282415
DOL,DOLLARAMA INC,197.02,CAD,TSX,0.984110712,39125147959,USD,45.04652811,0.202767811,271.9463847,47.91291291,36.9525928,15.21637427,4.892722142,191.1780952,161.71345,190.9156,0.45430768,0.38592684,2.911272991,140.3592014,31.22814565,100.08188,1.182202811
OTP,OTP BANK SHARE,30800,HUF,BET,0.293064148,24034991396,USD,7.430166088,3.215039122,184.3951985,67.39130435,25,13.82113821,8.412530799,29590,25051.15,28375.6,1.3871356,1.6100916,400.4403312,21.92382497,3.207238721,106.2124426,1.181183299
JCI,Johnson Controls International plc,104.75,USD,NYSE,-1.179245283,68546874527,USD,31.11078111,1.396226415,156.7401961,48.18220399,17.78927246,8.358332471,-3.018239052,105.9761905,89.732,105.6906,1.3104703,1.3206089,2.246956448,12.51651047,9.376419441,74.32980892,1.181030073
MSFT,Microsoft Corporation,504.24,USD,NASDAQ,-0.29265206,3.7481E+12,USD,36.96340605,0.640670727,134.7595326,18.90349584,20.82379863,12.0583137,-1.317102765,519.1804762,439.6914,504.9056,1.0545033,0.9134505,8.604824171,33.28082411,29.72907333,51.78560817,1.180783787
CIEN,Ciena Corporation,87.36,USD,NYSE,0.831024931,12349840252,USD,121.6882574,0,44.54003971,59.97070134,0.761245675,11.98564287,1.87755102,91.52238095,77.516975,84.5014,1.1082989,1.9108418,2.91748473,3.705347791,4.442680011,72.71758988,1.180675342
BILI,Bilibili Inc.,23.76,USD,NASDAQ,-6.105512745,10310999995,USD,,0,-48.70466321,72.8,1.327578928,28.64103952,-3.020408163,23.44952381,19.86265,22.5865,0.941737,0.9864907,0.922153957,-4.292073112,-3.120384701,102.7686185,1.18058385
IONQ,"IonQ, Inc.",37.17,USD,NYSE,1.032889372,11033590897,USD,,0,234.1063531,409.1780822,6.779661017,-11.41563394,-16.50943396,40.69809524,34.473575,41.459,3.7916605,4.331334,2.593914918,-57.05975788,-40.0895573,404.5421093,1.180559174
CDNS,"Cadence Design Systems, Inc.",347.57,USD,NASDAQ,0.613692285,94709347902,USD,94.04459116,0,210.3303571,23.87554352,28.82983061,11.38636072,9.457076274,351.8152381,298.345375,328.1207,0.9747703,1.2259669,8.647011107,21.83887011,22.89158789,64.09173485,1.179221357
RL,Ralph Lauren Corporation,285.46,USD,NYSE,-0.265530012,17296879667,USD,22.78666933,1.183530152,324.7916667,69.37225584,-0.303845214,6.364110589,-1.317108584,294.6742857,250.1806,285.315,1.5430353,1.148797,7.642641156,32.5543289,20.02791148,75.43252122,1.177846267
ACS,"ACS,ACTIVIDADES DE CONSTRUCCION Y SERVICIOS,S.A.",66,EUR,BME,0.075815011,19947034997,USD,19.55787353,2.484988558,207.2625698,63.36632855,27.41312741,9.452736318,10.92436975,62.70714286,53.26325,59.515,0.7830356,0.9605815,0.963274565,19.75196768,8.34259662,100.2321923,1.177305982
BIRG,Bank of Ireland Group PLC,13.17,EUR,EURONEXT,0.152091255,14635139185,USD,11.08679182,4.827707616,602.7748132,29.3078056,27.98833819,9.979123173,9.795748228,12.58785714,10.692575,12.2421,0.9063394,1.5632343,0.298172374,10.33680765,1.280813567,67.27526696,1.177252172
LHX,"L3Harris Technologies, Inc.",276.11,USD,NYSE,-0.014484881,51658743276,USD,30.82789036,1.709216006,53.96754587,19.90706562,40.22142095,16.5021097,5.63143196,273.1871429,232.0712,262.9316,0.77120715,0.48195398,4.056769467,8.903929902,6.823437547,76.63059628,1.177169519
DELL,Dell Technologies Inc.,127.83,USD,NYSE,-0.505915318,86777327477,USD,20.38105867,1.50996264,325.1697004,15.31799729,5.775755068,16.55876721,-0.1328125,133.6552381,113.5724,126.9944,1.0148321,2.0031505,4.210275962,,20.27197655,37.65251957,1.176828508
STN,STANTEC INC,150.46,CAD,TSX,2.242457189,12331271080,USD,39.30101348,0.591193259,259.0930788,33.15044248,37.45660515,8.816084472,-0.732334895,149.947619,127.56765,149.3138,0.9110022,0.9794213,3.015424339,14.54236667,13.42555543,79.4231321,1.175436085
FAST,Fastenal Company,49.14,USD,NASDAQ,-0.807428341,56394861660,USD,47.49202667,1.715785224,101.7241379,46.77419355,31.00506532,21.6487189,6.779661017,47.66095238,40.5685125,45.1294,0.949617,0.77663285,0.853792864,32.56743804,38.67415619,99.42797777,1.174826225
PAAS,PAN AMERICAN SILVER CORP,44.56,CAD,TSX,2.743832142,11595991208,USD,22.07033185,1.292172008,0.08984726,53.70817523,24.81792717,33.25358852,9.188924283,41.48619048,35.31475,40.4082,0.7515854,1.9072978,1.299661781,11.19114063,10.80062984,111.7796909,1.174755321
SDZ,SANDOZ GROUP N,49.19,CHF,SIX,-0.060950833,26778633864,USD,111.3399728,1.231274369,104.9583333,29.48143567,17.56692161,22.2415507,5.331905782,47.72095238,40.6564,45.5436,0.64418036,0.97444683,1.087688174,2.672209238,11.52415158,69.28990797,1.173762369
SAP,SAPUTO GROUP INC,33.86,CAD,TSX,1.773369402,10027263070,USD,,2.284340246,-1.569767442,13.50988937,32.265625,29.53328233,18.14375436,30.84238095,26.2821,28.855,0.14140688,0.5525224,0.632792708,-2.200805524,9.010792215,75.3087967,1.173512807
BAYN,BAYER AG NA O.N.,28.13,EUR,XETR,0,32073587458,USD,,0.393489537,-50.5623919,0.410497962,29.1255451,14.25670187,-0.600706714,27.32452381,23.289785,27.1824,1.0544127,0.8004828,0.711006947,-10.3486383,6.101910206,43.79274493,1.173240707
HELN,HELVETIA HOLDING N,215.6,CHF,SIX,0.092850511,14122971726,USD,23.65461627,3.119180633,146.823131,63.20967727,33.91304348,12.46739697,10.50743209,205.1571429,174.9,196.34,0.8504345,0.5666197,2.652551719,13.76984524,1.301339289,109.5901177,1.172996815
NTRS,Northern Trust Corporation,127.31,USD,NASDAQ,-0.445730372,24345909890,USD,14.96321196,2.345949327,55.8452687,47.69141531,11.73424609,21.86273571,-0.5390625,127.6738095,108.85605,124.3758,1.298576,1.1310896,2.637365057,13.46978916,1.727497137,81.28839712,1.172868293
BG,BAWAG GROUP AG,115,EUR,VIE,0.877192982,10399350434,USD,11.45977619,4.871567759,283.077948,70.49667178,25,6.976744186,5.698529412,111.7285714,95.27525,109.8,0.96385497,0.9364255,2.500437486,18.81325165,4.005700171,102.473416,1.172692503
META,"Meta Platforms, Inc.",739.1,USD,NASDAQ,-1.152837961,1.85659E+12,USD,26.76657202,0.2741668,172.6601985,40.20677227,6.104108645,18.44551282,3.198871808,753.1285714,642.367175,728.4075,1.2732663,1.3847008,18.92409125,40.6482621,34.21646157,64.75639373,1.172426925
MB,MEDIOBANCA,21.07,EUR,MIL,0.428979981,19147342346,USD,,5.263157895,198.9500568,41.31455399,27.6969697,2.680311891,12.67379679,20.26547619,17.2907,19.4737,0.9755212,1.4353545,0.399597811,11.89848351,1.808486009,71.69183558,1.172044867
EVR,Evercore Inc.,305.01,USD,NYSE,0.16419822,11791506653,USD,27.74129589,1.064004466,390.6064018,28.29022082,17.41088613,38.37045774,4.027967258,302.84,258.432725,286.7744,1.4759763,1.9536778,7.737201749,29.15627691,,84.0715647,1.171833018
ISP,INTESA SANPAOLO,5.611,EUR,MIL,0.03565698,1.15623E+11,USD,11.01924588,6.118787009,208.1612478,55.06425314,24.48141986,14.10269446,13.01107754,5.318285714,4.54215,5.06879,1.3561391,1.2397404,0.097677353,13.04335384,1.865601684,93.64836746,1.170874083
CSGP,"CoStar Group, Inc.",88.36,USD,NASDAQ,0.124645892,37433746078,USD,346.6457434,0,5.329661815,17.56253326,12.8048002,20.39787437,3.928487415,92.39571429,78.93435,86.8638,0.8508732,0.75047606,2.094150409,1.302736121,-0.128076715,50.76520784,1.170538736
VWS,VESTAS WIND SYSTEMS A/S,135.55,DKK,OMXCOP,-0.695970696,21360051860,USD,24.0272977,0.409074005,-26.47537347,-11.92332111,38.20350734,33.94268775,11.10655738,121.6714286,103.96895,113.8024,0.6793738,0.41608366,5.319254125,25.31168511,13.4382854,60.22287398,1.170266975
LECO,"Lincoln Electric Holdings, Inc.",238.12,USD,NASDAQ,-0.242982824,13140950198,USD,26.77942847,1.240050272,145.1055069,23.29518977,11.89849624,24.7877581,9.119237467,237.3838095,202.865975,223.3221,1.2192262,1.2170902,5.045364507,37.3529769,26.3988682,59.98144411,1.170150931
HEI,Heico Corporation,307.72,USD,NYSE,0.159489633,37080948225,USD,71.92912742,0.074862481,187.9925129,27.88629374,36.01485149,15.94137372,-3.025337199,316.8719048,270.8405,316.8912,1.1166208,0.77767724,6.859752281,16.33858359,13.10188282,79.84251895,1.169957613
SAF,SAFRAN,291,EUR,EURONEXT,-0.512820513,1.41475E+11,USD,28.15865613,1.002766252,196.9387755,47.90343075,18.87254902,11.5797546,4.525862069,287.7952381,246.0135,278.524,1.2666844,1.0361019,4.94569206,35.36006547,22.13870675,78.35573437,1.169835144
ROK,"Rockwell Automation, Inc.",339.52,USD,NYSE,-0.029444673,38173724500,USD,39.83714081,1.525234085,47.50195499,27.16104869,11.66584443,12.50393492,-2.994285714,344.6328571,294.8046,340.076,1.3877062,0.96443844,7.901016127,28.45905696,18.60396452,51.33082804,1.169021301
PTC,PTC Inc.,211.95,USD,NASDAQ,0.502631704,25390062764,USD,49.9658172,0,141.2909836,20.05777727,27.82703094,26.43163923,6.070463417,208.2738095,178.3412,192.5351,1.1775943,1.0045506,4.859533231,15.70960184,15.67799185,74.31644744,1.167839005
NOC,Northrop Grumman Corporation,597.21,USD,NYSE,0.788132447,85510312661,USD,21.95964083,1.432814662,76.32418069,17.35080859,36.40225658,26.50878048,11.41769743,582.1433333,498.69705,539.6656,0.1458058,0.28843874,8.900389032,26.50141072,11.23894055,80.26184565,1.167328608
NDAQ,"Nasdaq, Inc.",93.96,USD,NASDAQ,-0.571428571,53913799008,USD,36.10235918,1.047619048,116.3483606,34.24774968,13.46455742,17.17171717,5.383580081,95.48333333,81.81985,91.3972,1.008093,0.85433286,1.376370082,13.28107799,,64.88402427,1.166994725
PZU,PZU,63.8,PLN,GPW,-3.127846948,15487540155,USD,9.419476761,6.683092085,127.0462633,32.50259055,17.88617886,6.0857998,2.572347267,64.0047619,54.89115,62.2908,1.1371472,0.88210994,1.425435947,17.89282054,5.162826503,56.47456921,1.166030624
LVS,Las Vegas Sands Corp.,53.51,USD,NYSE,-0.205147333,36732131694,USD,27.01979398,1.67847818,9.831691297,29.87864078,18.50293434,35.84666159,10.44375645,52.91285714,45.3845,48.9026,1.0701871,0.8444347,1.050956392,49.15578764,14.08583382,84.2282367,1.165879477
SCHW,Charles Schwab Corporation (The),95.82,USD,NYSE,0.324573343,1.73934E+11,USD,25.79759309,1.088891216,177.7391304,47.41538462,16.86791072,11.16009281,-0.539755034,96.83761905,83.1283,93.6038,0.9554905,0.9636254,1.732638678,15.59462122,,75.44338814,1.164917592
BEN,"Franklin Resources, Inc.",24.52,USD,NYSE,-0.16286645,12730673790,USD,47.01821668,5.171009772,16.53992395,8.25607064,17.88461538,15.44256121,1.113402062,24.92380952,21.40165,24.3144,1.4904872,0.9547046,0.483571824,2.159997767,,41.58324723,1.164574205
ALE,ALLEGRO,38.07,PLN,GPW,-1.065488565,11062940349,USD,38.85486834,0,-41.43076923,-0.457573551,30.42137718,17.35511714,5.165745856,37.16642857,31.921125,35.5447,0.8108929,1.1075087,0.898199616,10.81584113,10.81893148,47.31892077,1.164320762
UBER,"Uber Technologies, Inc.",94.23,USD,NYSE,0.533447135,1.96509E+11,USD,15.98825865,0,200.1911437,27.82148671,15.96111248,8.055730749,3.006121557,90.75428571,77.96165,90.7208,1.4256166,1.2039902,2.746099267,72.25592309,13.55850293,51.83832993,1.164088827
VOD,VODAFONE GROUP ORD USD0.2095238,88.68,GBX,LSE,0.226039783,28636978470,USD,,4.278104501,-22.79296535,20.65306122,36.0540043,12.595226,5.496074233,85.2552381,73.2521,81.9524,0.99995565,1.1330378,1.414252536,-7.217052647,3.781614915,69.30229152,1.163860669
PKO,PKOBP,77.7,PLN,GPW,-7.212801529,28511375773,USD,9.674768403,4.686364737,249.9999842,35.13043478,8.915054668,3.738317757,-4.263183834,81.67428571,70.176,78.1312,1.4675678,1.5218328,2.690826571,20.30418866,8.233284497,47.78380721,1.163849261
GARAN,GARANTI BANKASI,147,TRY,BIST,-0.742741391,14916040215,USD,6.172295212,3.008420151,1973.342736,29.9734748,12.21374046,31.01604278,4.925053533,145.0761905,124.66125,136.608,1.1661519,1.3080347,3.518932916,30.47033279,6.694034345,73.20325804,1.163763322
SMIN,SMITHS GROUP PLC ORD GBP0.375,2352,GBX,LSE,-0.423370025,10363728361,USD,26.5103697,1.882627119,64.70588235,34.24657534,13.73307544,9.906542056,0.170357751,2328.285714,2002.28,2293.64,1.1200044,1.1856586,27.84603859,13.98537477,14.79779412,57.88619283,1.162817245
EOAN,E.ON SE NA O.N.,15.545,EUR,XETR,-0.096401028,47163367650,USD,12.89934445,3.522254243,57.97764228,25.71775172,33.31903945,0.032175032,-4.865361077,15.90547619,13.67945,15.8237,0.7030194,0.06996194,0.266195989,18.90009606,7.288059973,59.0689662,1.162727755
LHA,LUFTHANSA AG VNA O.N.,8.154,EUR,XETR,0.196608503,11333998868,USD,5.5072268,3.635482307,34.58310432,45.60714286,27.48592871,22.50600962,8.229360234,7.889238095,6.78597,7.51432,1.2920882,1.5347395,0.160994571,17.72697649,-2.360968424,95.59908118,1.16258075
VEEV,Veeva Systems Inc.,282.28,USD,NYSE,-0.612632913,46128013107,USD,59.81649043,0,4.548148148,45.43019062,23.61725422,21.46822152,-0.367076098,283.1009524,243.73235,282.5744,0.95737773,0.88018686,6.299296768,14.06541105,13.66119104,90.51566636,1.161523911
CASY,"Caseys General Stores, Inc.",510.18,USD,NASDAQ,-0.625255654,18968994398,USD,34.84074519,0.389567385,185.0167598,34.85765642,21.41939169,15.40445168,-1.946916261,517.6519048,446.14625,514.82,0.68835056,0.4950081,8.70108648,16.75400759,12.44802101,71.68149979,1.160274024
G1A,GEA GROUP AG,64.2,EUR,XETR,0.15600624,12021815421,USD,26.61691542,1.780185759,110.0785409,57.12187574,18.99907322,10.21459227,7.989907485,63.68571429,54.8998,60.963,0.8062142,0.75473964,1.089774641,17.92108,19.27325782,86.33554123,1.160035452
MU,"Micron Technology, Inc.",115.79,USD,NASDAQ,-1.211500725,1.29583E+11,USD,20.89959027,0.392457981,168.5296846,7.054363905,11.72327287,25.50401041,2.600682291,115.8014286,99.830625,118.2142,1.3741248,2.1649246,4.58945926,13.10898887,12.19013605,44.28164718,1.159979
FGR,EIFFAGE,125.8,EUR,EURONEXT,-0.039729837,14149143181,USD,11.5006628,3.74501992,61.28205128,36.94752736,38.91342756,0.801282051,7.705479452,121.2214286,104.55225,118.68,1.086719,0.7082843,1.507216306,15.80385608,10.65564952,76.66223697,1.159433954
FM,FIRST QUANTUM MINERALS,22.5,CAD,TSX,0.401606426,13485984618,USD,67.56756757,0,78.57142857,34.08820024,19.61722488,13.5790005,-6.015037594,23.32809524,20.1229,23.1762,1.7749124,2.587839,0.680240789,1.797898153,6.424081389,67.28442562,1.15928098
TD,TORONTO-DOMINION BANK,102.45,CAD,TSX,0.205399061,1.28943E+11,USD,10.62131312,4.078638498,65.13539652,26.63782447,19.58678651,10.64909817,0.777100138,101.6090476,87.69835,100.4562,1.0248773,0.58093303,0.936495152,14.59720338,2.239533874,56.87370916,1.158619833
NWG,NATWEST GROUP PLC ORD GBP1.0769,563,GBX,LSE,0.035536603,60866530119,USD,9.429111846,3.882267967,363.669364,62.52887305,28.45083276,7.442748092,11.70634921,534.4857143,461.6,514.51,1.6525582,1.4451809,10.57007021,14.07213496,1.126685695,98.42245391,1.157897995
RMD,ResMed Inc.,288.34,USD,NYSE,-0.249083235,42217254631,USD,30.32572228,0.733411748,59.42718125,28.67725812,24.11863458,18.88348314,10.08704948,282.117619,243.6861,266.9704,0.7722679,0.7406749,5.320222312,25.86291863,25.72837865,71.67937584,1.157709115
SPOT,Spotify Technology S.A.,689.47,USD,NYSE,-2.03469785,1.39767E+11,USD,165.7021318,0,149.0769842,99.7537374,8.344202272,8.73034647,-2.821745197,681.4414286,588.6518,703.6702,1.6981806,1.1442518,26.96622781,13.9389757,26.85995665,116.8282861,1.157630757
RPRX,Royalty Pharma plc,36.31,USD,NASDAQ,-1.545553145,21176866431,USD,15.8075751,2.331887202,-15.55813953,32.56663016,9.071793331,12.90422886,1.851332398,36.79,31.82335,36.1068,0.5426142,0.15917791,0.785440989,15.91545709,10.6678043,54.54265234,1.156069364
FTI,TechnipFMC plc,35.31,USD,NYSE,1.582278481,14512992455,USD,16.72191703,0.575373993,463.8353965,34.15653495,16.15131579,22.22222222,9.692451072,35.67714286,30.87095,34.8968,1.0726666,1.3246782,0.924375908,29.26735219,23.51461612,72.53007297,1.155686587
CAT,"Caterpillar, Inc.",417.89,USD,NYSE,-0.641955348,1.95773E+11,USD,21.2497966,1.364749519,199.0054379,21.27517558,19.21661484,23.77158428,1.831251904,423.0395238,366.24925,403.4082,1.3971816,1.2331057,9.045082074,52.73392752,22.26828828,64.2633747,1.155059086
SNOW,Snowflake Inc.,194.68,USD,NYSE,-0.061601643,64956534952,USD,,0,-20.53877551,46.64055438,5.289345592,-1.926903604,-9.411135153,204.7495238,177.34485,211.111,1.2209721,1.3654202,6.527088416,-40.15782416,-28.95981596,50.00299637,1.154527599
TEM,"Tempus AI, Inc.",76.71,USD,NASDAQ,4.680676856,13326640247,USD,,0,91.775,27.85,0.261403738,33.71099878,31.15062404,64.35666667,55.797175,63.8473,4.993626,3.141316,5.075967397,-97.95371898,-23.97119538,61.82240252,1.153403674
TRMB,Trimble Inc.,80.27,USD,NASDAQ,0.087281796,19101778935,USD,68.54239604,0,57.33045864,42.37318198,9.598580011,15.46317606,-0.359980139,83.29761905,72.244575,79.6827,1.697776,1.3978899,1.980017456,5.064699907,7.259809673,67.43493805,1.152994796
BSY,"Bentley Systems, Incorporated",53.41,USD,NASDAQ,-0.373064727,16216928980,USD,68.24686941,0.484984145,90.75,7.162921348,14.53999571,12.86982249,-7.913793103,55.28761905,47.999925,54.6243,1.0988992,0.6413564,1.076135372,23.69325249,13.36669895,34.57273954,1.151827197
CBRE,CBRE Group Inc,159.12,USD,NYSE,-1.069385725,47346842151,USD,44.58016978,0,252.9724933,42.31285216,12.38081785,33.22170127,11.90660384,155.5466667,135.09635,145.761,1.346433,0.98775667,2.959681792,13.12541393,,87.91537129,1.15137579
MAERSK_A,A.P. MOLLER - MAERSK A A/S,13820,DKK,OMXCOP,0.875912409,33637939702,USD,4.574925983,8.253500368,58.59435141,33.655706,14.21487603,10.38338658,6.718146718,13530.95238,11755.8,12769.8,0.52932835,0.544469,358.5165286,13.19344359,10.09144857,58.25396861,1.151002261
ASRNL,ASR NEDERLAND,62.8,EUR,EURONEXT,0.512163892,15025614065,USD,12.0945998,5.01607717,114.6274778,36.0780006,29.35118435,12.82788358,8.275862069,59.82952381,52.0049,57.8028,0.75780725,0.5241959,0.777047319,12.65407736,,78.25706853,1.150459357
ADM,ADMIRAL GROUP ORD GBP0.001,3632,GBX,LSE,-1.250679717,15108679758,USD,13.45188494,5.243036592,35.97903407,24.46881426,31.07181523,8.547519426,8.612440191,3458,3007.135,3375.4,0.25442666,0.2682693,67.85772146,65.35726912,14.36328245,64.08814891,1.149931746
DWS,DWS GROUP SE,54.25,EUR,XETR,-0.18399264,12615612946,USD,14.38992042,4.044117647,65.64885496,58.25554721,16.26660952,9.595959596,9.551696284,53.68571429,46.69445,50.9226,1.164467,1.537418,0.951466579,10.8139118,,84.11811632,1.149723667
CYBR,CyberArk Software Ltd.,435.12,USD,NASDAQ,-0.810394939,21933182217,USD,,0,302.665186,55.62788369,8.23880597,17.90591806,12.54170654,412.8488095,359.121275,399.4327,0.95702595,0.98122615,14.31510241,-10.34968755,-3.50665838,81.77260771,1.149608331
ULS,UL Solutions Inc.,65.2,USD,NYSE,-2.541106129,13097557200,USD,40.17499538,0.762331839,90.47619048,22.76407456,20.6960385,-7.857546637,-6.697195192,68.60714286,59.6977,70.0568,0.9941507,0.536774,2.197172522,35.12352309,23.70762202,35.60256643,1.149242648
TOST,"Toast, Inc.",42.6,USD,NYSE,0.448007545,24835799110,USD,124.2344707,0,-34.72264787,75.16447368,6.313950586,1.428571429,-10.12658228,45.58714286,39.69545,44.683,2.016244,1.4236628,1.672444428,14.51144792,12.15066829,82.9069957,1.148422372
PFGC,Performance Food Group Company,99.72,USD,NYSE,-1.355228015,15608085242,USD,45.85038393,0,198.9208633,35.59967365,17.88627497,19.48238677,0.696758558,99.31761905,86.5109,94.3816,1.1995071,0.8640132,2.34566555,7.912271929,7.720125182,72.96833539,1.148035901
NFLX,"Netflix, Inc.",1206.21,USD,NASDAQ,-0.630220948,5.1255E+11,USD,51.40223557,0,143.4632123,73.05738881,17.17374832,1.875844595,-1.964433752,1194.904286,1040.893575,1229.9442,1.5891775,1.236786,28.66448388,43.54815187,29.05619932,92.10698173,1.147960094
GL,Globe Life Inc.,139.62,USD,NYSE,0.373831776,11309713865,USD,11.15442998,0.733285406,71.54441578,43.12660174,12.1625964,17.77309152,16.1757364,138.4395238,120.7218,128.3814,0.82192886,0.34592158,2.821119948,20.01547134,5.53334304,73.06228967,1.146764907
